doi;API;cof1;ratio_mole;liquid;liq_amount_mL;mixing_apparatus ;mixing_frequency_Hz;mixing_temp_C;mixing_time_min;drying_time_hour;drying_temp_C;text
10.1016/j.ejps.2015.05.017;Caffeine ;citric acid ;4:1 ;water;0.30;"planetary mill (Pulverisette 7; Fritsch GmbH, Idar-Oberstein, Germany) ";;;;;;"LAG experiments with CF and CTA were performed in aqueous solution using a planetary mill (Pulverisette 7; Fritsch GmbH, Idar-Oberstein, Germany) at room temperature. A mixture of CF and CTA in molar ratios of 4:1(1.496 g:0.370 g), 3:1 (1.423 g:0.469 g), 2:1 (1.296 g:0.642 g), 1:1 (1.023 g:1.012 g), 1:2 (0.720 g:1.424 g), 1:3 (0.556 g:1.647 g), and 1:4 (0.452 g:1.788 g) with stainless steel balls was performed in a 45-mL stainless steel jar. The LAG experiments were carried out under two experimental conditions: (I) using 12 stainless steel balls with diameters of 9.5 mm and 20 stainless steel balls with diameters of 6.35 mm and (II) using 40 stainless steel balls with diameters of 6.35 mm. Then, 0.30 mL of distilled water was added to the jar. The revolu- tion speed of the jar N (rpm) and the grinding time t (min) were varied as the main variables. In addition, the jar itself was rotated in the opposite direction to the revolution at the rate of N. The grinding time was considered as the accumulated time. The grind- ing process was stopped every 10 min to cool the jar for 10 min to prevent an excessive increase in temperature during the grinding process (Kim et al., 2004). The ground samples were stored at room temperature with silica gel until further analysis."
10.1016/j.ejps.2015.05.017;Caffeine ;citric acid ;3:1 ;water;0.30;"planetary mill (Pulverisette 7; Fritsch GmbH, Idar-Oberstein, Germany) ";;;;;;
10.1016/j.ejps.2015.05.017;Caffeine ;citric acid ;2:1 ;water;0.30;"planetary mill (Pulverisette 7; Fritsch GmbH, Idar-Oberstein, Germany) ";;;;;;
10.1016/j.ejps.2015.05.017;Caffeine ;citric acid ;1:1 ;water;0.30;"planetary mill (Pulverisette 7; Fritsch GmbH, Idar-Oberstein, Germany) ";;;;;;
10.1016/j.ejps.2015.05.017;Caffeine ;citric acid ;1:2 ;water;0.30;"planetary mill (Pulverisette 7; Fritsch GmbH, Idar-Oberstein, Germany) ";;;;;;
10.1016/j.ejps.2015.05.017;Caffeine ;citric acid ;1:3;water;0.30;"planetary mill (Pulverisette 7; Fritsch GmbH, Idar-Oberstein, Germany) ";;;;;;
10.1016/j.ejps.2015.05.017;Caffeine ;citric acid ;1:4 ;water;0.30;"planetary mill (Pulverisette 7; Fritsch GmbH, Idar-Oberstein, Germany) ";;;;;;
10.1021/acs.cgd.5b00279;Theophylline;4-aminosalicylic acid;1:1;acetone;0.1;Retsch mill 200;;;30;;;Theophylline (ca. 1 mmol) and the stoichiometric amount of coformer were ground during two periods of 30 minutes each within a mechanical mill operating at 25 Hz, with manual mixing with a spatula in between the two runs and addition of 100 μL of acetone in each period. Two different mills were used for the preparations, with no perceivable differences in the results: a Retsch MM 200 mill with two 10 mL vessels of stainless steel and a Fritsch Pulverisette 23 with a 5 mL grinding bowl. Three spheres of stainless steel of about 5 mm of width were added in the reactors on all the preparations. As first approach, the reagents were mixed in equimolar proportions. However, we soon realized that the stoichiometry of compound 1 was not equimolar, because the obtained cocrystal product was the actual 2:1 proportion mixed with an excess of 4-aminosalicylic acid. Any attempts to prepare the theophylline...4-aminosalicylic acid (1:1) or theophylline...4-aminobenzoic acid (2:1) cocrystals, resulted in physical mixtures of compounds 1 and 2 with the respective reagent in excess (See figures S2 and S3 for details)
10.1021/acs.cgd.5b00279;theophylline;4-aminobenzoic acid;2:1 ;acetone;0.1;Retsch mill 200;;;30;;;
10.5530/ijper.53.4s.151 ;Zaltoprofen ;alicylic acid;1:1 ;Methanol ;;mortar and pestle;;;45;;;Liquid assisted grinding method was employed to pre- pare ZFN cocrystals. Drug and coformers were mixed in distinct molar ratio (1:1 and 1:2) in mortar and pestle for 45 min to develop cocrystals. Methanol was added drop wise in very small quantity to moisten the mixture of drug and coformer during grinding. The resultant cocrystals were dried overnight at ambient temperature, passed through 60 mesh sieve and stored in air tight container until use. The 25 coformers were screened for the preparation of cocrystals viz. salicylic acid, nicotinamide, glutaric acid, malonic acid, benzoic acid, tartaric acid, oxalic acid, citric acid, urea, succinic acid, saccharine sodium, Pluronic 68 AR, Magnesium stea- rate, crotonic acid, P-hydroxy benzoic acid, Caffeine, 3,5 dihydroxy benzoic acid, Piperazine citrate, Cinnamic acid, Adipic acid, Hydroquinone, Isonicotinic acid, Acetamide, Maleic acid, Ascorbic acid.
